"","Award.Year","Avg.Amount.Awarded","Total.Amount.Awarded","Total.Grants.Given"
"1",2010,1.78537939769231,0.06962979651,0.039
"2",2011,1.33965829318182,0.08841744735,0.066
"3",2012,3.11269959908046,0.27080486512,0.087
"4",2013,0.349735273669352,0.17346869574,0.496
"5",2014,0.244123078658604,0.50411415743,2.065
"6",2015,0.218201805692728,0.79534558175,3.645
"7",2016,0.727496954700464,5.76832335382,7.929
"8",2017,0.619916629150727,11.10270682809,17.91
"9",2018,0.727034606269043,31.3388267032299,43.105
"10",2019,0.60427389123712,33.3649829046597,55.215
"11",2020,0.70190608986185,59.7448425568723,85.118
